,duration,fitness
0,64,123557.0
1,64,118789.0
2,64,115199.5
3,64,113799.5
4,64,112920.5
5,64,111429.5
6,64,108939.5
7,64,108839.5
8,64,108355.0
9,64,107667.5
10,64,106342.5
11,64,101141.5
12,64,101051.5
13,64,99161.5
14,64,98830.5
15,64,96231.5
16,64,95578.5
17,64,93498.5
18,64,91693.5
19,64,90866.0
20,64,87709.0
21,64,87346.0
22,64,85937.0
23,64,85799.0
24,64,82617.0
25,64,81991.0
26,64,80994.5
27,64,79496.5
28,64,79335.5
29,64,77441.5
30,70,76288.5
31,64,73996.0
32,64,72946.0
33,64,72242.0
34,70,70208.5
35,64,69118.5
36,70,68613.5
37,64,66173.5
38,66,63223.0
39,66,62560.5
40,64,62550.5
41,64,60528.5
42,66,60395.5
43,66,59985.5
44,64,58392.0
45,65,58104.0
46,65,55709.5
47,65,55457.0
48,65,54589.5
49,65,53739.5
50,65,53029.5
51,64,52536.0
52,64,51388.0
53,64,51169.0
54,71,50375.0
55,67,49159.0
56,64,47983.5
57,65,47873.0
58,64,47703.0
59,64,46940.5
60,67,46851.5
61,67,46041.5
62,72,45090.5
63,65,44926.5
64,65,43434.0
65,64,42466.0
66,64,41660.0
67,64,41637.5
68,65,41187.5
69,65,40627.5
70,71,40356.5
71,65,39506.5
72,66,38287.5
73,65,38155.0
74,65,36647.5
75,65,35939.0
76,65,35781.5
77,65,35346.5
78,65,35041.5
79,65,34622.5
80,65,33749.0
81,64,32750.5
82,65,32572.0
83,65,32024.0
84,66,31079.5
85,65,30534.5
86,65,30284.5
87,65,29510.5
88,65,28934.5
89,65,28464.5
90,65,28402.0
91,65,28394.5
92,65,28222.0
93,65,28142.0
94,64,27740.5
95,65,27689.5
96,65,27634.5
97,65,26708.5
98,65,26518.5
99,65,26393.5
100,68,26148.5
101,68,26016.0
102,65,26004.5
103,65,25863.5
104,65,25714.5
105,68,25698.5
106,65,25614.5
107,68,25519.0
108,65,25268.5
109,64,25198.5
110,64,24798.5
111,65,24738.5
112,65,24528.5
113,65,24423.0
114,65,24353.0
115,65,24343.0
116,65,24033.0
117,65,23950.5
118,65,23653.0
119,65,23440.5
120,65,23280.5
121,65,23250.5
122,65,22933.0
123,65,22425.0
124,65,22317.0
125,65,22123.0
126,65,22053.0
127,66,21955.5
128,66,21833.0
129,65,21774.0
130,66,21485.5
131,67,21353.0
132,65,21276.5
133,65,21238.5
134,65,21129.5
135,65,20917.0
136,65,20869.5
137,64,20617.0
138,65,20599.5
139,64,20547.0
140,64,20537.0
141,65,20532.0
142,65,20472.0
143,65,20392.0
144,64,20377.0
145,65,20372.0
146,65,20337.0
147,64,20217.0
148,65,20102.0
149,64,20077.0
150,65,19922.0
151,65,19832.0
152,65,19783.0
153,65,19712.0
154,65,19702.0
155,64,19667.0
156,64,19577.0
157,64,19547.0
158,64,19387.0
159,64,19347.0
160,65,19284.0
161,64,19247.0
162,66,19210.5
163,66,19170.5
164,64,19132.0
165,64,19076.0
166,64,19072.0
167,65,18935.5
168,64,18934.5
169,64,18854.0
170,64,18794.0
171,64,18696.5
172,64,18607.0
173,64,18507.0
174,64,18377.0
175,64,18367.0
176,65,18328.0
177,65,18248.0
178,64,18165.0
179,64,18025.0
180,64,17695.0
181,65,17694.5
182,66,17628.5
183,65,17567.0
184,65,17554.5
185,65,17547.0
186,65,17534.5
187,65,17499.5
188,64,17409.5
189,64,17404.5
190,64,17399.5
